AssetID,Asset,Month,Team,Hours
AR,Ardandra,Jul-25,Construction & Engineering,13.5
AR,Ardandra,Jul-25,Development,45
AR,Ardandra,Jul-25,Energy Market & Analytics,171
AR,Ardandra,Jul-25,Finance,9.9
AR,Ardandra,Jul-25,Grid,115.875
AR,Ardandra,Jul-25,Investment,56.25
BC,Blind Creek,Jul-25,Construction & Engineering,354.75
BC,Blind Creek,Jul-25,Development,183.75
BC,Blind Creek,Jul-25,Energy Market & Analytics,129
BC,Blind Creek,Jul-25,Finance,6
BC,Blind Creek,Jul-25,Grid,51.75
BC,Blind Creek,Jul-25,Investment,139.8
BC,Blind Creek,Jul-25,Legal & Commercial,46.185
BS,Blackstone,Jul-25,Construction & Engineering,62.5
BS,Blackstone,Jul-25,Development,495
BS,Blackstone,Jul-25,Energy Market & Analytics,10
BS,Blackstone,Jul-25,Finance,5.75
BS,Blackstone,Jul-25,Grid,76.25
BS,Blackstone,Jul-25,Investment,25
BS,Blackstone,Jul-25,Legal & Commercial,80.5
CO,Coleambally,Jul-25,Construction & Engineering,61.75
CO,Coleambally,Jul-25,Grid,119.51
DL,Dulacca,Jul-25,Construction & Engineering,415.8
DL,Dulacca,Jul-25,Development,445.5
DL,Dulacca,Jul-25,Finance,74.25
DL,Dulacca,Jul-25,Grid,37.125
DP,Darlington Point,Jul-25,Asset Management,155
DP,Darlington Point,Jul-25,Construction & Engineering,62
DP,Darlington Point,Jul-25,Development,31
DP,Darlington Point,Jul-25,Energy Market & Analytics,62
DP,Darlington Point,Jul-25,Finance,38.75
DP,Darlington Point,Jul-25,Grid,383.625
FH,Fulham,Jul-25,Construction & Engineering,120.75
FH,Fulham,Jul-25,Development,140
FH,Fulham,Jul-25,Finance,14
FH,Fulham,Jul-25,Grid,175
FH,Fulham,Jul-25,Legal & Commercial,186.725
GF,Giffard,Jul-25,Finance,15
MR,Merino,Jul-25,Development,170
MR,Merino,Jul-25,Grid,17.85
SA,Saltbush,Jul-25,Energy Market & Analytics,19.5
SA,Saltbush,Jul-25,Finance,13.65
TH,Theodore,Jul-25,Finance,11.55
AR,Ardandra,Aug-25,Construction & Engineering,4.5
AR,Ardandra,Aug-25,Energy Market & Analytics,9
AR,Ardandra,Aug-25,Finance,0.9
AR,Ardandra,Aug-25,Grid,101.925
AR,Ardandra,Aug-25,Investment,4.5
AR,Ardandra,Aug-25,Legal & Commercial,6.03
BC,Blind Creek,Aug-25,Construction & Engineering,427.245
BC,Blind Creek,Aug-25,Development,190.5
BC,Blind Creek,Aug-25,Energy Market & Analytics,189
BC,Blind Creek,Aug-25,Finance,22.5
